"slug";"name";"family";"subFamily";"categoryId";"acceptedApplications";"possibleApplications";"reviewReasons";"explicitUseSummary";"titleDescriptor";"specLine";"categorySourceGroup";"recordLoaded";"recordUrl"
"arwowear-t31-flame-pro";"ArWoWear T31 Flame Pro";"ArWoWear";"arwowear-flame-arc-pro";"fr-workwear";"welding";"energy | firefighting | military";"energy: Explicit electric-arc protection rating (EN 61482, ATPV) directly ties the fabric to protection from electrical hazards typical of energy-sector work. || firefighting: EN ISO 11612 flame and heat protection is present, but no explicit firefighter/turnout-gear use is stated; FR alone does not establish firefighting sector. || military: No explicit military, police or tactical use stated; only generic FR workwear terminology is given.";"";"90% Cotton 10% Polyamide, Flame Retardant Fabric, 330 gr/m'2";"330 g/m², 90% Cotton 10% Polyamide, VAT Dyed, Flame Retardant (100 Wash Resistant), 3/1S Twill Fabric";"Flame Retardant, Vat Dyed, Workwear Fabrics Resistant up to 100 Wash";"true";"/ariteks/fabrics/arwowear-t31-flame-pro/data/fabric-complete-record.json"
"arwowear-t0-flame-arc-pro";"ArWoWear T0 Flame Arc Pro";"ArWoWear";"arwowear-flame-arc-pro";"fr-antistatic";"";"energy | welding";"energy: Product has EN 1149 antistatic and FR properties suitable for electric-arc adjacent risks, but no explicit statement of electrical utility, high-voltage or energy-sector use is provided. || welding: FR cotton/antistatic fabric could suit metalworking environments, but no explicit welding, foundry or molten-metal use is stated.";"This is a generic flame-retardant, antistatic FR shirt fabric (EN ISO 11612, EN ISO 14116, EN 1149) marketed as workwear fabric with no explicit sector (military, firefighting, energy, welding, etc.) named in the product data.";"99% Cotton 1% Carbon Plain, Flame Retardant Antistatic Fabric, 150 gr/m'2";"150 g/m², 99% Cotton 1% Carbon, VAT Dyed, Flame Retardant (100 Wash Resistant), Antistatic, 1/1 Plain Fabric";"Flame Retardant, Antistatic, Vat Dyed, Workwear Fabrics Resistant up to 100 Wash";"true";"/ariteks/fabrics/arwowear-t0-flame-arc-pro/data/fabric-complete-record.json"
"arwowear-t1-flame-arc-pro";"ArWoWear T1 Flame Arc Pro";"ArWoWear";"arwowear-flame-arc-pro";"fr-antistatic";"";"energy | welding";"energy: Fabric offers antistatic (EN 1149-5) and flame retardant (EN ISO 11612) protection, which are relevant properties for electrical/arc hazard environments, but no explicit statement ties it to the energy sector, electrical utilities or high-voltage work. || welding: FR cotton with antistatic properties could suit heat/flame hazard environments like welding, but no explicit mention of welding, foundry or metalworking use is present.";"Product is explicitly described as a flame retardant, antistatic workwear fabric (application listed as 'Flame Retardant Shirt') certified to EN ISO 11612 and EN 1149-5, intended for general FR/antistatic workwear use. No explicit sector such as energy, welding, firefighting or military is stated in the supplied data.";"99% Cotton 1% Carbon Twill, Flame Retardant Antistatic Fabric, 220 gr/m'2";"220 g/m², 99% Cotton 1% Carbon, VAT Dyed, Flame Retardant (100 Wash Resistant), Antistatic, 2/1S Twill Fabric";"Flame Retardant, Antistatic, Vat Dyed, Workwear Fabrics Resistant up to 100 Wash";"true";"/ariteks/fabrics/arwowear-t1-flame-arc-pro/data/fabric-complete-record.json"
"arwowear-t2-flame-arc-pro";"ArWoWear T2 Flame Arc Pro";"ArWoWear";"arwowear-flame-arc-pro";"fr-antistatic";"welding";"energy | firefighting";"energy: Explicit electric-arc protection rating and ATPV value directly indicate suitability for electrical/energy sector hazard protection, matching the energy application's explicit arc-protection criterion. || firefighting: Fabric is FR and certified to EN ISO 11612 for flame/heat protection, but no explicit statement of firefighter or turnout-gear use is present.";"";"99% Cotton 1% Carbon Twill, Flame Retardant Antistatic Fabric, 260 gr/m'2";"260 g/m², 99% Cotton 1% Carbon, VAT Dyed, Flame Retardant (100 Wash Resistant), Antistatic, 3/1S Twill Fabric";"Flame Retardant, Antistatic, Vat Dyed, Workwear Fabrics Resistant up to 100 Wash";"true";"/ariteks/fabrics/arwowear-t2-flame-arc-pro/data/fabric-complete-record.json"
"arwowear-t11-flame-arc-pro";"ArWoWear T11 Flame Arc Pro";"ArWoWear";"arwowear-flame-arc-pro";"fr-antistatic";"welding | energy";"firefighting | military";"firefighting: EN ISO 11612 flame and heat protection is present, but no explicit firefighter/turnout-gear use is stated. || military: No explicit military or uniformed-service application stated despite protective workwear nature.";"";"99% Cotton 1% Carbon Twill, Flame Retardant Antistatic Fabric, 360 gr/m'2";"360 g/m², 99% Cotton 1% Carbon, VAT Dyed, Flame Retardant (100 Wash Resistant), Antistatic, 3/1S Twill Fabric";"Flame Retardant, Antistatic, Vat Dyed, Workwear Fabrics Resistant up to 100 Wash";"true";"/ariteks/fabrics/arwowear-t11-flame-arc-pro/data/fabric-complete-record.json"
"arwowear-t20-flame-arc-pro";"ArWoWear T20 Flame Arc Pro";"ArWoWear";"arwowear-flame-arc-pro";"fr-antistatic";"welding";"energy | firefighting | military";"energy: Explicit electric-arc protection certification (EN 61482) directly supports electrical/energy sector protective use, beyond generic antistatic properties. || firefighting: EN ISO 11612 flame and heat protection is present, but no explicit firefighting/turnout-gear use is stated; this is generic FR workwear certification. || military: No explicit military, police or uniformed-service use is stated in the data.";"";"79% Cotton 20% Polyester 1% Carbon Twill, Flame Retardant, Antisatic Fabric, 260 gr/m'2";"260 g/m², 79% Cotton 20% Polyester 1% Carbon, VAT Dyed, Flame Retardant (100 Wash Resistant), Antistatic, 3/1S Twill Fabric";"Flame Retardant, Antistatic, Vat Dyed, Workwear Fabrics Resistant up to 100 Wash";"true";"/ariteks/fabrics/arwowear-t20-flame-arc-pro/data/fabric-complete-record.json"
"arwowear-t21-flame-arc-pro";"ArWoWear T21 Flame Arc Pro";"ArWoWear";"arwowear-flame-arc-pro";"fr-antistatic";"welding";"energy | firefighting | military";"energy: Explicit electric-arc thermal hazard protection (EN 61482) directly ties the fabric to electrical/energy-sector protective use, beyond generic antistatic or FR claims. || firefighting: EN ISO 11612 provides flame/heat protection but the product data never states firefighter or fire-brigade use, only general FR workwear. || military: No explicit military, police or uniformed-service reference in the supplied data.";"";"79% Cotton 20% Polyester 1% Carbon, Flame Retardant, Antisatic Fabric , 330 gr/m'2";"330 g/m², 79% Cotton 20% Polyester 1% Carbon, VAT Dyed, Flame Retardant (100 Wash Resistant), Antistatic, 3/1S Twill Fabric";"Flame Retardant, Antistatic, Vat Dyed, Workwear Fabrics Resistant up to 100 Wash";"true";"/ariteks/fabrics/arwowear-t21-flame-arc-pro/data/fabric-complete-record.json"
"arwowear-t30-flame-arc-pro";"ArWoWear T30 Flame Arc Pro";"ArWoWear";"arwowear-flame-arc-pro";"fr-antistatic";"welding | energy";"firefighting | military";"firefighting: EN ISO 11612 flame/heat protection is present but no explicit firefighting/turnout-gear use is stated. || military: No explicit military/uniformed-service statement despite workwear/protective nature.";"";"89% Cotton 10% Polyamide 1% Carbon, Flame Retardant, Antisatic Fabric, 260 gr/m'2";"260 g/m², 89% Cotton 10% Polyamide 1% Carbon, VAT Dyed, Flame Retardant (100 Wash Resistant), Antistatic, 3/1S Twill Fabric";"Flame Retardant, Antistatic, Vat Dyed, Workwear Fabrics Resistant up to 100 Wash";"true";"/ariteks/fabrics/arwowear-t30-flame-arc-pro/data/fabric-complete-record.json"
"arwowear-t31-flame-arc-pro";"ArWoWear T31 Flame Arc Pro";"ArWoWear";"arwowear-flame-arc-pro";"fr-antistatic";"welding";"energy | firefighting | military";"energy: Explicit electric-arc protection (EN 61482) with tested ATPV rating is a direct indicator of use in electrical/high-voltage work environments, going beyond generic antistatic property. || firefighting: EN ISO 11612 flame/heat protection certification alone does not explicitly state firefighter/turnout-gear use; product is framed as general FR workwear shirt/coverall. || military: No explicit military, police or tactical use stated despite protective workwear nature.";"";"89% Cotton 10% Polyamide 1% Carbon, Flame Retardant, Antisatic Fabric, 330 gr/m'2";"330 g/m², 89% Cotton 10% Polyamide 1% Carbon, VAT Dyed, Flame Retardant (100 Wash Resistant), Antistatic, 3/1S Twill Fabric";"Flame Retardant, Antistatic, Vat Dyed, Workwear Fabrics Resistant up to 100 Wash";"true";"/ariteks/fabrics/arwowear-t31-flame-arc-pro/data/fabric-complete-record.json"
"aramid-d0-150";"Aramid D0 150";"Aramid";"aramid";"aramid";"";"energy | firefighting | medical | military | welding";"energy: Explicit mention of oil and gas industry workers directly ties the fabric to the energy sector. || firefighting: Product description explicitly states the fabric is intended for firefighters. || medical: No medical or healthcare use is stated; only chemical/FR properties are listed. || military: Explicit mention of military pilot costumes and flight suit application image directly ties the fabric to military uniformed use. || welding: EN ISO 11611 is the explicit welding protective clothing standard listed for this fabric, directly supporting welding/metalworking use.";"";"Aramid Fabric, 93% meta Aramid 5% para Aramid 2% Carbon , 150 gr/m'2";"150 g/m², 93% m-Aramid 5% p-Aramid 2% Carbon, Inherent Flame Retardant, Antistatic, 1/1 Plain Fabric Aramid fabric";"Inherent Flame Retardant Aramid Workwear Fabrics";"true";"/ariteks/fabrics/aramid-d0-150/data/fabric-complete-record.json"
"aramid-d1-210";"Aramid D1 210";"Aramid";"aramid";"aramid";"welding";"energy | firefighting | military";"energy: Application image label explicitly ties the fabric to electrical distribution arc suits, and EN 61482 arc-flash certification directly supports electrical/energy sector use. || firefighting: Product description explicitly states use for wildland firefighters and is certified to EN ISO 15614 (Forest Firefighters), directly supporting firefighting application. || military: No explicit military, police or tactical use stated; only generic FR/industrial workwear context.";"";"Aramid Fabric, 93% meta Aramid 5% para Aramid 2% Carbon , 210 gr/m'2";"210 g/m², 93% m-Aramid 5% p-Aramid 2% Carbon, Inherent Flame Retardant, Antistatic, 2/1S Twill Fabric Aramid twill fabric";"Inherent Flame Retardant Aramid Workwear Fabrics";"true";"/ariteks/fabrics/aramid-d1-210/data/fabric-complete-record.json"
"aramid-d2-260";"Aramid D2 260";"Aramid";"aramid";"aramid";"firefighting | welding";"energy | military";"energy: Explicit oil and gas industry use plus certified electric-arc protection (EN 61482) directly support the energy sector application. || military: No explicit military, police or tactical use stated; only generic FR workwear and industrial applications mentioned.";"";"Aramid Fabric, 93% meta Aramid 5% para Aramid 2% Carbon , 260 gr/m'2";"260 g/m², 93% m-Aramid 5% p-Aramid 2% Carbon, Inherent Flame Retardant, Antistatic, 3/1S Twill Fabric Aramid twill fabric";"Inherent Flame Retardant Aramid Workwear Fabrics";"true";"/ariteks/fabrics/aramid-d2-260/data/fabric-complete-record.json"
"aramid-d3-200";"Aramid D3 200";"Aramid";"aramid";"aramid";"firefighting";"energy | military | welding";"energy: Fabric has antistatic (EN 1149-5) and arc protection (EN 61482) properties, which are relevant to electrical hazard protection, but no explicit statement ties it to the energy sector or electrical utility work. || military: Aramid FR fabrics are sometimes used in military protective gear, but no explicit military, police or tactical use is stated in the product data. || welding: Inherent FR and heat protection could be relevant to metalworking, but no explicit mention of welding, foundry or molten metal splash use.";"";"Aramid Fabric, 75% meta Aramid 23% para Aramid 2% Carbon , 200 gr/m'2";"200 g/m², 75% m-Aramid 23% p-Aramid 2% Carbon, Inherent Flame Retardant, Antistatic, 2/1S Twill Fabric Aramid twill fabric";"Inherent Flame Retardant Aramid Workwear Fabrics";"true";"/ariteks/fabrics/aramid-d3-200/data/fabric-complete-record.json"
"arwowear-260-moda-pro";"ArWoWear 260 Moda Pro";"ArWoWear";"arwowear-moda-pro";"modacrylic";"welding | hivis";"energy | firefighting | military | transport";"energy: Explicit mention of electrical workers as target users along with arc-flash (EN 61482) protection directly supports energy sector application. || firefighting: Explicit mention of firefighters as intended users plus EN ISO 11612 heat/flame protection supports firefighting use. || military: No explicit military or uniformed service use mentioned in the product data. || transport: Application image label mentions 'Oil and Gas Industry' coverall but no explicit vehicle/vessel transport use stated.";"";"60% Modacrylic 38% Cotton 2% Carbon, Inherent Flame Retardant Antistatic Fabric";"260 g/m², 60% Modacrylic 38% Cotton 2% Carbon, Inherent Flame Retardant";"Inherent Flame Retardant Modacrylic Workwear Fabrics";"true";"/ariteks/fabrics/arwowear-260-moda-pro/data/fabric-complete-record.json"
"arwowear-330-moda-pro";"ArWoWear 330 Moda Pro";"ArWoWear";"arwowear-moda-pro";"modacrylic";"welding | hivis";"energy | firefighting";"energy: Explicitly described for electrical workers with arc flash protection certification, directly connecting to high-voltage electrical work. || firefighting: Product description explicitly lists firefighters as an intended user group alongside heat/flame protection certification.";"";"60% Modacrylic 38% Cotton 2% Carbon, Inherent Flame Retardant Antistatic Fabric";"330 g/m², 60% Modacrylic 38% Cotton 2% Carbon, Inherent Flame Retardant";"Inherent Flame Retardant Modacrylic Workwear Fabrics";"true";"/ariteks/fabrics/arwowear-330-moda-pro/data/fabric-complete-record.json"
"arox-t1-static-pro";"Arox T1 Static Pro";"Arox";"arox";"polyester-outerwear";"";"energy | medical";"energy: Antistatic property alone does not establish energy-sector use per exclusion rules; ESD/electronics context is closer to industrial cleanroom than energy utilities. || medical: Described for 'clean room's cloths' which could relate to controlled environments including pharma/medical, but no explicit medical/healthcare use is stated.";"";"99% Polyester 1% Carbon Antisatic Fabric";"110 g/m², 99% Polyester 1% Carbon, Antistatic, 3/2 S Twill Fabric";"Polyester Woven Fabrics for Raincoats, Jackets and Coveralls";"true";"/ariteks/fabrics/arox-t1-static-pro/data/fabric-complete-record.json"
"arox-t2-static-pro";"Arox T2 Static Pro";"Arox";"arox";"polyester-outerwear";"";"energy | medical";"energy: Product is antistatic (EN 1149-5) and used for ESD/electronic industry, but no explicit electrical utility, high-voltage or EMI shielding use is stated, only electronic manufacturing/cleanroom context. || medical: Description mentions cleanroom clothing, which could relate to pharma/medical cleanrooms, but no explicit healthcare or hospital use is stated.";"The product is described explicitly as an antistatic ESD twill fabric for cleanroom clothing and the electronic industry, certified to EN ISO 1149-5 and EN 13034 for chemical protection. No explicit sector such as energy, medical, firefighting, military, welding, motorcycle, hivis, architecture-building or transport use is stated in the supplied data.";"99% Polyester 1% Carbon Antisatic Fabric";"160 g/m², 99% Polyester 1% Carbon, Antistatic, 2/1 S Twill Fabric";"Polyester Woven Fabrics for Raincoats, Jackets and Coveralls";"true";"/ariteks/fabrics/arox-t2-static-pro/data/fabric-complete-record.json"
"arox-t2-wr";"Arox T2 WR";"Arox";"arox";"polyester-outerwear";"hivis";"energy | welding";"energy: Antistatic (EN 1149) and EMI properties are present but no explicit electrical utility or high-voltage use is stated. || welding: Chemical resistance (EN 13034) is present but no explicit welding, foundry or metal-processing use is stated.";"";"100% Polyester High Visible Water Repellent Oxford Fabric";"160 g/m², 100% Polyester High Visible, Chemical Resistant,1/1 Plain Woven Fabric";"Polyester Woven Fabrics for Raincoats, Jackets and Coveralls";"true";"/ariteks/fabrics/arox-t2-wr/data/fabric-complete-record.json"
"arox-t4-wr-wp";"Arox T4 WR/WP";"Arox";"arox";"polyester-outerwear";"hivis";"energy | welding";"energy: Antistatic property and EN 1149 present, but no explicit connection to electrical utilities or high-voltage work. || welding: Chemical resistance and EN 13034 mentioned, but no explicit welding/foundry/metallurgy use stated.";"";"75% Polyester 25% Polyurethane Milky Coated High Visible Waterproof Oxford Fabric";"210 g/m², 75% Polyester 25% Polyurethane, Waterproof, Breathable, High Visible, 1/1 Plain Woven Fabric";"Polyester Woven Fabrics for Raincoats, Jackets and Coveralls";"true";"/ariteks/fabrics/arox-t4-wr-wp/data/fabric-complete-record.json"
"arox-t5-multi";"Arox T5 Multi";"Arox";"arox";"polyester-outerwear";"hivis";"energy | firefighting | welding";"energy: Antistatic (EN 1149) property present but no explicit statement of electrical utility or high-voltage use. || firefighting: Flame retardant certification (EN ISO 14116) present but no explicit firefighter/turnout gear use stated. || welding: Inherent FR and chemical resistance present but no explicit welding, foundry, or metal-splash use stated.";"";"75% Polyester 23% Polyurethane 2% Carbon Milky Coated, Inherent Flame Retardant, Antistatic, High Visible Waterproof Oxford Fabric";"250 g/m², 75% Polyester 23% Polyurethane 2% Carbon, Inherent Flame Retardant, Antistatic, Waterproof, Breathable, High Visible, 1/1 Plain Woven Fabric";"Polyester Woven Fabrics for Raincoats, Jackets and Coveralls";"true";"/ariteks/fabrics/arox-t5-multi/data/fabric-complete-record.json"
"argiyim-245";"ArGiyim 245";"ArGiyim";"argiyim";"polycotton";"hivis";"energy | military | welding";"energy: Antistatic and EMI shielding properties present, but no explicit electrical utility or high-voltage application stated. || military: No explicit military, police or uniformed-service use stated despite durable workwear framing. || welding: Chemical resistant and FR properties could relate to industrial hazards but no explicit welding/metallurgy use stated.";"";"80% Polyester 20% Cotton PolyCotton High Visible Water Repellent Twill Fabric";"245 g/m², 80% Polyester 20% Cotton High Visible, Chemical Resistant, 3/1 S Twill Woven Fabric";"Ultra Durable, Ultra Breathable Front Side Polyester Back Side Cotton, PolyCotton Fabrics";"true";"/ariteks/fabrics/argiyim-245/data/fabric-complete-record.json"
"argiyim-290";"ArGiyim 290";"ArGiyim";"argiyim";"polycotton";"hivis";"military | welding";"military: Heavy outdoor jacket/workwear use could theoretically apply to uniformed services but no explicit military or police reference exists. || welding: Chemical resistance and EN 13034 certification suggest protective outdoor workwear but no explicit welding, foundry or metal-processing use is stated.";"";"80% Polyester 20% Cotton PolyCotton High Visible Water Repellent Satin Fabric";"290 g/m², 80% Polyester 20% Cotton High Visible, Chemical Resistant, 4/1 Satin Woven Fabric";"Ultra Durable, Ultra Breathable Front Side Polyester Back Side Cotton, PolyCotton Fabrics";"true";"/ariteks/fabrics/argiyim-290/data/fabric-complete-record.json"
"argiyim-245-static-pro";"ArGiyim 245 Static Pro";"ArGiyim";"argiyim";"polycotton";"hivis";"energy | medical";"energy: Antistatic (EN 1149) and EMI shielding properties are present but there is no explicit statement of use in electrical utilities, high-voltage work or electrical installations, so this alone is insufficient per the exclusion rule. || medical: Description mentions use 'in pans and trousers in clean rooms', which suggests cleanroom garments but does not explicitly state a medical, healthcare or hospital use.";"";"79% Polyester 20% Cotton 1% Carbon PolyCotton Antistatic Water Repellent Twill Fabric";"245 g/m², 79% Polyester 20% Cotton 1% Carbon Antistatic, Chemical Resistant, 3/1 S Twill Woven Fabric";"Ultra Durable, Ultra Breathable Front Side Polyester Back Side Cotton, PolyCotton Fabrics";"true";"/ariteks/fabrics/argiyim-245-static-pro/data/fabric-complete-record.json"
"argiyim-bird-eye";"ArGiyim Bird Eye";"ArGiyim";"argiyim";"polycotton";"hivis";"energy | sport";"energy: Antistatic property and EN 1149 present, but no explicit connection to electrical/energy sector use is stated. || sport: Breathable knit t-shirt fabric, but no explicit sportswear or athletic use stated beyond generic apparel.";"";"50% Polyester 50% Cotton PolyCotton High Visible Bird Eye Knit Fabric";"180 g/m², 50% Polyester 50% Cotton High Visible, Bird Eye Knit Fabric";"Ultra Durable, Ultra Breathable Front Side Polyester Back Side Cotton, PolyCotton Fabrics";"true";"/ariteks/fabrics/argiyim-bird-eye/data/fabric-complete-record.json"
"argiyim-sultan";"ArGiyim Sultan";"ArGiyim";"argiyim-knit";"polycotton";"hivis";"energy | firefighting | welding";"energy: Explicit certified electric-arc protection (EN 61482 Class 1) combined with antistatic certification directly supports electrical/high-voltage protective use relevant to the energy sector. || firefighting: EN ISO 11612 heat and flame protection is certified but no explicit firefighter turnout gear or fire brigade use is stated. || welding: Chemical resistance and FR properties are present but no explicit welding, foundry or metal-splash use is stated.";"";"49% Polyester 50% Cotton 1% Carbon PolyCotton High Visible, Flame Retardant, Chemical Resistant, Antistatic Satin Fabric";"330 g/m², 49% Polyester 50% Cotton 1% Carbon High Visible, Flame Retardant, Antistatic, Chemical Resistant, 4/1 Satin Woven Fabric";"Ultra Durable, Ultra Breathable Front Side Polyester Back Side Cotton, PolyCotton Fabrics";"true";"/ariteks/fabrics/argiyim-sultan/data/fabric-complete-record.json"
"argiyim-ic";"ArGiyim Ic";"ArGiyim";"argiyim-knit";"polycotton-needle-drop";"hivis";"energy | firefighting | welding";"energy: Has antistatic (EN 1149) and arc protection (EN 61482) properties, but no explicit statement of use in electrical/energy sector work. || firefighting: FR performance (EN ISO 11612) is present, but the product is explicitly framed as hi-vis t-shirt fabric, not firefighter turnout gear. || welding: FR and chemical protection (EN 13034) properties present, but no explicit welding, foundry or metallurgy use stated.";"";"50% Polyester 50% Cotton PolyCotton High Visible Needle Drop Knit Fabric";"180 g/m², 50% Polyester 50% Cotton High Visible, Needle Drop Knit Fabric";"Front Side Polyester Back Side Cotton needle drop knit PolyCotton Fabrics";"true";"/ariteks/fabrics/argiyim-ic/data/fabric-complete-record.json"
"aramid-vis-150";"Aramid Vis 150";"Aramid";"aramid-vis";"aramid-viscose";"";"energy | firefighting | hivis | military | transport | welding";"energy: Explicit mention of oil and gas industry workers as intended users places the fabric directly in the energy sector. || firefighting: Explicit statement that the fabric is used as firefighter cloth inside lining, directly supporting firefighting application. || hivis: The product explicitly lists hi-vis as a property and is certified to EN ISO 20471, the high-visibility safety standard, directly supporting hi-vis application. || military: Technical parameter lists 'Application | Pilot Costumes' which could relate to military aviation, but no explicit military, police or uniformed-service wording is given. || transport: 'Pilot Costumes' could hint at aviation transport use, but there is no explicit statement tying the fabric to vehicles, aircraft or vessels. || welding: EN ISO 11611 is the explicit standard for protective clothing used in welding and allied processes, directly tying the fabric to welding/metal-splash protection.";"";"Aramid Viscose Fr Fabric, 53% Viscose Fr 40% meta Aramid 5% para Aramid 2% Carbon , 150 gr/m'2";"150 g/m², 53% Viscose fr 40% m-Aramid 5% p-Aramid 2% Carbon, Inherent Flame Retardant, Antistatic, 1/1 Plain Fabric Aramid Viscose fr blend fabric";"Inherent Flame Retardant Aramid Viscose Fr Woven Workwear Fabrics";"true";"/ariteks/fabrics/aramid-vis-150/data/fabric-complete-record.json"
"aramid-vis-250";"Aramid Vis 250";"Aramid";"aramid-vis-knit";"aramid-viscose";"";"energy | firefighting | military | welding";"energy: Product description explicitly states intended use for oil and gas industry workers, directly tying it to the energy sector. || firefighting: Technical parameter explicitly lists 'Firefighters Costumes' as an application, and the product image label references a flame retardant suit, directly supporting firefighting use. || military: No explicit military or uniformed-service reference despite protective FR properties. || welding: FR and chemical resistance could suit industrial metalworking, but no explicit welding or foundry use is stated.";"";"Aramid Viscose Fr Fabric, 53% Viscose Fr 40% meta Aramid 5% para Aramid 2% Carbon , 250 gr/m'2";"250 g/m², 53% Viscose Fr 40% m-Aramid 5% p-Aramid 2% Carbon, Inherent Flame Retardant, Antistatic, 3/1S Twill Fabric Aramid Viscose Fr twill fabric";"Inherent Flame Retardant Aramid Viscose Fr Woven Workwear Fabrics";"true";"/ariteks/fabrics/aramid-vis-250/data/fabric-complete-record.json"
"arsuprem-aramid-vis";"ArSuprem Aramid Vis";"ArSuprem";"aramid-vis-knit";"aramid-viscose-knits";"firefighting";"energy";"energy: Explicit statement of use by electrical workers combined with arc flash protection certification (EN 61482) directly ties this fabric to the electrical/energy sector.";"";"53% Viscose Fr 40% m-Aramid 5% p-Aramid 2% Carbon, Inherent Flame Retardant Antistatic Jersey Fabric";"220 g/m², 53% Viscose Fr 40% m-Aramid 5% p-Aramid 2% Carbon, Inherent Flame Retardant";"Inherent Flame Retardant Aramid Viscose Fr Knit Workwear Fabrics";"true";"/ariteks/fabrics/arsuprem-aramid-vis/data/fabric-complete-record.json"
"arshirt-aramid-vis";"ArShirt Aramid Vis";"ArShirt";"aramid-vis-knit";"aramid-viscose-knits";"energy";"firefighting";"firefighting: Explicit statement that the fabric is used by firefighters, supported by flame/heat protection certification EN ISO 11612.";"";"53% Viscose Fr 40% m-Aramid 5% p-Aramid 2% Carbon, Inherent Flame Retardant Antistatic Pique Fabric";"220 g/m², 53% Viscose Fr 40% m-Aramid 5% p-Aramid 2% Carbon, Inherent Flame Retardant";"Inherent Flame Retardant Aramid Viscose Fr Knit Workwear Fabrics";"true";"/ariteks/fabrics/arshirt-aramid-vis/data/fabric-complete-record.json"
"ar3iplik-aramid-vis";"Ar3 İplik Aramid Vis";"Ar3";"aramid-vis-knit";"aramid-viscose-knits";"firefighting";"energy | welding";"energy: Explicit statement of use by electrical workers combined with arc-flash protection certification supports the energy sector application. || welding: Flame retardant and heat protective properties could be relevant to metal-processing hazards but no explicit welding or foundry use is stated.";"";"53% Viscose Fr 40% m-Aramid 5% p-Aramid 2% Carbon, Inherent Flame Retardant Antistatic Fleece Fabric";"300 g/m², 53% Viscose Fr 40% m-Aramid 5% p-Aramid 2% Carbon, Inherent Flame Retardant";"Inherent Flame Retardant Aramid Viscose Fr Knit Workwear Fabrics";"true";"/ariteks/fabrics/ar3iplik-aramid-vis/data/fabric-complete-record.json"
"aramid-d1-210-denim";"Aramid D1 210 Denim";"Aramid";"aramid-2";"aramid-denim";"energy";"military | welding";"military: No explicit military, police or tactical use mentioned in the product data. || welding: Explicit EN ISO 11611 welding protection certification with 'Welding Protection: Yes' directly supports use in welding/metalworking protective clothing.";"";"Aramid Denim Fabric, 93% meta Aramid 5% para Aramid 2% Carbon , 210 gr/m'2";"210 g/m², 93% m-Aramid 5% p-Aramid 2% Carbon, Inherent Flame Retardant, Antistatic, Denim Fabric Aramid denim fabric";"Inherent Flame Retardant Denim and Elasthane Aramid Fabrics";"true";"/ariteks/fabrics/aramid-d1-210-denim/data/fabric-complete-record.json"
"aramid-d2-260-el";"Aramid D2 260 El";"Aramid";"aramid-knit";"aramid-denim";"military | firefighting";"energy | welding";"energy: Antistatic and arc protection properties (EN 1149, EN 61482) present but no explicit statement of energy sector or electrical utility use. || welding: Flame retardant and heat protection properties present but no explicit welding or metallurgy use stated.";"";"Aramid Elasthane Fabric, 88% meta Aramid 5% para Aramid 2% Carbon 5% Elastane , 260 gr/m'2";"260 g/m², 88% m-Aramid 5% p-Aramid 2% Carbon 5% Elastane, Inherent Flame Retardant, Elasthane, Antistatic, 3/1S Twill Fabric Aramid elasthane twill fabric";"Inherent Flame Retardant Denim and Elasthane Aramid Fabrics";"true";"/ariteks/fabrics/aramid-d2-260-el/data/fabric-complete-record.json"
"aramid-d50-pike";"Aramid D50 Pike";"Aramid";"aramid-knit";"aramid-knits";"";"energy | firefighting | welding";"energy: Fabric has EN 61482 arc-flash protection (Class 1, ATPV >7 cal/cm²) and EN 1149 antistatic certification, which are relevant to electrical hazard protection, but no explicit statement ties the product to the energy sector, electrical utilities or high-voltage work. || firefighting: Flame retardant and heat protection standards (EN ISO 11612) are present, but no explicit firefighter or turnout-gear use is mentioned. || welding: Inherent FR aramid/carbon knit could theoretically suit heat-hazard trades, but no explicit welding, foundry or metallurgy use is stated.";"The product is described as a universal, inherent flame-retardant, antistatic, arc-protective aramid/carbon knit fabric intended for general FR workwear (e.g., 'Flame Retardant Universal T-Shirt'), with no explicit statement tying it to a specific taxonomy sector such as firefighting, welding, energy, or military use.";"93% m-Aramid 5% p-Aramid 2% Carbon, Inherent Pique Flame Retardant Antistatic Fabric";"220 g/m², 93% m-Aramid 5% p-Aramid 2% Carbon, Inherent Flame Retardant";"Inherent Flame Retardant Aramid Knit Workwear Fabrics";"true";"/ariteks/fabrics/aramid-d50-pike/data/fabric-complete-record.json"
"arwowear-330-moda-pro-el";"ArWoWear 330 Moda Pro El";"ArWoWear";"arwowear-moda-pro-2";"fr-stretch-fleece";"";"energy | hivis | military | welding";"energy: Product description explicitly states use by electrical workers, and technical data confirms arc-flash protection and antistatic certification directly relevant to electrical/energy work. || hivis: EN ISO 20471 certification and hi-vis property listed, but no explicit high-visibility safety garment context beyond the standard reference. || military: Description explicitly names military applications as an intended use of the fabric. || welding: FR and antistatic properties could relate to metal industry hazards, but no explicit welding or foundry use stated.";"";"58% Modacrylic 35% Cotton 2% Carbon 5% Elasthane, Inherent Flame Retardant Elastane Antistatic Fabric";"330 g/m², 58% Modacrylic 35% Cotton 2% Carbon 5% Elastane, Inherent Flame Retardant, Elastane,Antistatic 3/1S Twill Fabric";"Inherent Flame Retardant Elasthane and Fleece Workwear Fabrics";"true";"/ariteks/fabrics/arwowear-330-moda-pro-el/data/fabric-complete-record.json"
